"id","nm","type"
"11.01","Aceh Selatan","Kabupaten"
"11.02","Aceh Tenggara","Kabupaten"
"11.03","Aceh Timur","Kabupaten"
"11.04","Aceh Tengah","Kabupaten"
"11.05","Aceh Barat","Kabupaten"
"11.06","Aceh Besar","Kabupaten"
"11.07","Pidie","Kabupaten"
"11.08","Aceh Utara","Kabupaten"
"11.09","Simeulue","Kabupaten"
"11.10","Aceh Singkil","Kabupaten"
"11.11","Bireuen","Kabupaten"
"11.12","Aceh Barat Daya","Kabupaten"
"11.13","Gayo Lues","Kabupaten"
"11.14","Aceh Jaya","Kabupaten"
"11.15","Nagan Raya","Kabupaten"
"11.16","Aceh Tamiang","Kabupaten"
"11.17","Bener Meriah","Kabupaten"
"11.18","Pidie Jaya","Kabupaten"
"11.71","Banda Aceh","Kota"
"11.72","Sabang","Kota"
"11.73","Lhokseumawe","Kota"
"11.74","Langsa","Kota"
"11.75","Subulussalam","Kota"
"12.01","Tapanuli Tengah","Kabupaten"
"12.02","Tapanuli Utara","Kabupaten"
"12.03","Tapanuli Selatan","Kabupaten"
"12.04","Nias","Kabupaten"
"12.05","Langkat","Kabupaten"
"12.06","Karo","Kabupaten"
"12.07","Deli Serdang","Kabupaten"
"12.08","Simalungun","Kabupaten"
"12.09","Asahan","Kabupaten"
"12.10","Labuhanbatu","Kabupaten"
"12.11","Dairi","Kabupaten"
"12.12","Toba Samosir","Kabupaten"
"12.13","Mandailing Natal","Kabupaten"
"12.14","Nias Selatan","Kabupaten"
"12.15","Pakpak Bharat","Kabupaten"
"12.16","Humbang Hasundutan","Kabupaten"
"12.17","Samosir","Kabupaten"
"12.18","Serdang Bedagai","Kabupaten"
"12.19","Batu Bara","Kabupaten"
"12.20","Padang Lawas Utara","Kabupaten"
"12.21","Padang Lawas","Kabupaten"
"12.22","Labuhanbatu Selatan","Kabupaten"
"12.23","Labuhanbatu Utara","Kabupaten"
"12.24","Nias Utara","Kabupaten"
"12.25","Nias Barat","Kabupaten"
"12.71","Medan","Kota"
"12.72","Pematang Siantar","Kota"
"12.73","Sibolga","Kota"
"12.74","Tanjung Balai","Kota"
"12.75","Binjai","Kota"
"12.76","Tebing Tinggi","Kota"
"12.77","Padang Sidempuan","Kota"
"12.78","Gunungsitoli","Kota"
"13.01","Pesisir Selatan","Kabupaten"
"13.02","Solok","Kabupaten"
"13.03","Sijunjung","Kabupaten"
"13.04","Tanah Datar","Kabupaten"
"13.05","Padang Pariaman","Kabupaten"
"13.06","Agam","Kabupaten"
"13.07","Lima Puluh Kota","Kabupaten"
"13.08","Pasaman","Kabupaten"
"13.09","Kepulauan Mentawai","Kabupaten"
"13.10","Dharmasraya","Kabupaten"
"13.11","Solok Selatan","Kabupaten"
"13.12","Pasaman Barat","Kabupaten"
"13.71","Padang","Kota"
"13.72","Solok","Kota"
"13.73","Sawah Lunto","Kota"
"13.74","Padang Panjang","Kota"
"13.75","Bukittinggi","Kota"
"13.76","Payakumbuh","Kota"
"13.77","Pariaman","Kota"
"14.01","Kampar","Kabupaten"
"14.02","Indragiri Hulu","Kabupaten"
"14.03","Bengkalis","Kabupaten"
"14.04","Indragiri Hilir","Kabupaten"
"14.05","Pelalawan","Kabupaten"
"14.06","Rokan Hulu","Kabupaten"
"14.07","Rokan Hilir","Kabupaten"
"14.08","Siak","Kabupaten"
"14.09","Kuantan Singingi","Kabupaten"
"14.10","Kepulauan Meranti","Kabupaten"
"14.71","Pekanbaru","Kota"
"14.72","Dumai","Kota"
"15.01","Kerinci","Kabupaten"
"15.02","Merangin","Kabupaten"
"15.03","Sarolangun","Kabupaten"
"15.04","Batang Hari","Kabupaten"
"15.05","Muaro Jambi","Kabupaten"
"15.06","Tanjung Jabung Barat","Kabupaten"
"15.07","Tanjung Jabung Timur","Kabupaten"
"15.08","Bungo","Kabupaten"
"15.09","Tebo","Kabupaten"
"15.71","Jambi","Kota"
"15.72","Sungaipenuh","Kota"
"16.01","Ogan Komering Ulu","Kabupaten"
"16.02","Ogan Komering Ilir","Kabupaten"
"16.03","Muara Enim","Kabupaten"
"16.04","Lahat","Kabupaten"
"16.05","Musi Rawas","Kabupaten"
"16.06","Musi Banyuasin","Kabupaten"
"16.07","Banyuasin","Kabupaten"
"16.08","Ogan Komering Ulu Timur","Kabupaten"
"16.09","Ogan Komering Ulu Selatan","Kabupaten"
"16.10","Ogan Ilir","Kabupaten"
"16.11","Empat Lawang","Kabupaten"
"16.12","Penukal Abab Lematang Ilir","Kabupaten"
"16.13","Musi Rawas Utara","Kabupaten"
"16.71","Palembang","Kota"
"16.72","Pagar Alam","Kota"
"16.73","Lubuk Linggau","Kota"
"16.74","Prabumulih","Kota"
"17.01","Bengkulu Selatan","Kabupaten"
"17.02","Rejang Lebong","Kabupaten"
"17.03","Bengkulu Utara","Kabupaten"
"17.04","Kaur","Kabupaten"
"17.05","Seluma","Kabupaten"
"17.06","Muko Muko","Kabupaten"
"17.07","Lebong","Kabupaten"
"17.08","Kepahiang","Kabupaten"
"17.09","Bengkulu Tengah","Kabupaten"
"17.71","Bengkulu","Kota"
"18.01","Lampung Selatan","Kabupaten"
"18.02","Lampung Tengah","Kabupaten"
"18.03","Lampung Utara","Kabupaten"
"18.04","Lampung Barat","Kabupaten"
"18.05","Tulang Bawang","Kabupaten"
"18.06","Tanggamus","Kabupaten"
"18.07","Lampung Timur","Kabupaten"
"18.08","Way Kanan","Kabupaten"
"18.09","Pesawaran","Kabupaten"
"18.10","Pringsewu","Kabupaten"
"18.11","Mesuji","Kabupaten"
"18.12","Tulang Bawang Barat","Kabupaten"
"18.13","Pesisir Barat","Kabupaten"
"18.71","Bandar Lampung","Kota"
"18.72","Metro","Kota"
"19.01","Bangka","Kabupaten"
"19.02","Belitung","Kabupaten"
"19.03","Bangka Selatan","Kabupaten"
"19.04","Bangka Tengah","Kabupaten"
"19.05","Bangka Barat","Kabupaten"
"19.06","Belitung Timur","Kabupaten"
"19.71","Pangkal Pinang","Kota"
"21.01","Bintan","Kabupaten"
"21.02","Karimun","Kabupaten"
"21.03","Natuna","Kabupaten"
"21.04","Lingga","Kabupaten"
"21.05","Kepulauan Anambas","Kabupaten"
"21.71","Batam","Kota"
"21.72","Tanjung Pinang","Kota"
"31.01","Kepulauan Seribu","Kabupaten"
"31.71","Jakarta Pusat","Kota"
"31.72","Jakarta Utara","Kota"
"31.73","Jakarta Barat","Kota"
"31.74","Jakarta Selatan","Kota"
"31.75","Jakarta Timur","Kota"
"32.01","Bogor","Kabupaten"
"32.02","Sukabumi","Kabupaten"
"32.03","Cianjur","Kabupaten"
"32.04","Bandung","Kabupaten"
"32.05","Garut","Kabupaten"
"32.06","Tasikmalaya","Kabupaten"
"32.07","Ciamis","Kabupaten"
"32.08","Kuningan","Kabupaten"
"32.09","Cirebon","Kabupaten"
"32.10","Majalengka","Kabupaten"
"32.11","Sumedang","Kabupaten"
"32.12","Indramayu","Kabupaten"
"32.13","Subang","Kabupaten"
"32.14","Purwakarta","Kabupaten"
"32.15","Karawang","Kabupaten"
"32.16","Bekasi","Kabupaten"
"32.17","Bandung Barat","Kabupaten"
"32.18","Pangandaran","Kabupaten"
"32.71","Bogor","Kota"
"32.72","Sukabumi","Kota"
"32.73","Bandung","Kota"
"32.74","Cirebon","Kota"
"32.75","Bekasi","Kota"
"32.76","Depok","Kota"
"32.77","Cimahi","Kota"
"32.78","Tasikmalaya","Kota"
"32.79","Banjar","Kota"
"33.01","Cilacap","Kabupaten"
"33.02","Banyumas","Kabupaten"
"33.03","Purbalingga","Kabupaten"
"33.04","Banjarnegara","Kabupaten"
"33.05","Kebumen","Kabupaten"
"33.06","Purworejo","Kabupaten"
"33.07","Wonosobo","Kabupaten"
"33.08","Magelang","Kabupaten"
"33.09","Boyolali","Kabupaten"
"33.10","Klaten","Kabupaten"
"33.11","Sukoharjo","Kabupaten"
"33.12","Wonogiri","Kabupaten"
"33.13","Karanganyar","Kabupaten"
"33.14","Sragen","Kabupaten"
"33.15","Grobogan","Kabupaten"
"33.16","Blora","Kabupaten"
"33.17","Rembang","Kabupaten"
"33.18","Pati","Kabupaten"
"33.19","Kudus","Kabupaten"
"33.20","Jepara","Kabupaten"
"33.21","Demak","Kabupaten"
"33.22","Semarang","Kabupaten"
"33.23","Temanggung","Kabupaten"
"33.24","Kendal","Kabupaten"
"33.25","Batang","Kabupaten"
"33.26","Pekalongan","Kabupaten"
"33.27","Pemalang","Kabupaten"
"33.28","Tegal","Kabupaten"
"33.29","Brebes","Kabupaten"
"33.71","Magelang","Kota"
"33.72","Surakarta","Kota"
"33.73","Salatiga","Kota"
"33.74","Semarang","Kota"
"33.75","Pekalongan","Kota"
"33.76","Tegal","Kota"
"34.01","Kulon Progo","Kabupaten"
"34.02","Bantul","Kabupaten"
"34.03","Gunung Kidul","Kabupaten"
"34.04","Sleman","Kabupaten"
"34.71","Yogyakarta","Kota"
"35.01","Pacitan","Kabupaten"
"35.02","Ponorogo","Kabupaten"
"35.03","Trenggalek","Kabupaten"
"35.04","Tulungagung","Kabupaten"
"35.05","Blitar","Kabupaten"
"35.06","Kediri","Kabupaten"
"35.07","Malang","Kabupaten"
"35.08","Lumajang","Kabupaten"
"35.09","Jember","Kabupaten"
"35.10","Banyuwangi","Kabupaten"
"35.11","Bondowoso","Kabupaten"
"35.12","Situbondo","Kabupaten"
"35.13","Probolinggo","Kabupaten"
"35.14","Pasuruan","Kabupaten"
"35.15","Sidoarjo","Kabupaten"
"35.16","Mojokerto","Kabupaten"
"35.17","Jombang","Kabupaten"
"35.18","Nganjuk","Kabupaten"
"35.19","Madiun","Kabupaten"
"35.20","Magetan","Kabupaten"
"35.21","Ngawi","Kabupaten"
"35.22","Bojonegoro","Kabupaten"
"35.23","Tuban","Kabupaten"
"35.24","Lamongan","Kabupaten"
"35.25","Gresik","Kabupaten"
"35.26","Bangkalan","Kabupaten"
"35.27","Sampang","Kabupaten"
"35.28","Pamekasan","Kabupaten"
"35.29","Sumenep","Kabupaten"
"35.71","Kediri","Kota"
"35.72","Blitar","Kota"
"35.73","Malang","Kota"
"35.74","Probolinggo","Kota"
"35.75","Pasuruan","Kota"
"35.76","Mojokerto","Kota"
"35.77","Madiun","Kota"
"35.78","Surabaya","Kota"
"35.79","Batu","Kota"
"36.01","Pandeglang","Kabupaten"
"36.02","Lebak","Kabupaten"
"36.03","Tangerang","Kabupaten"
"36.04","Serang","Kabupaten"
"36.71","Tangerang","Kota"
"36.72","Cilegon","Kota"
"36.73","Serang","Kota"
"36.74","Tangerang Selatan","Kota"
"51.01","Jembrana","Kabupaten"
"51.02","Tabanan","Kabupaten"
"51.03","Badung","Kabupaten"
"51.04","Gianyar","Kabupaten"
"51.05","Klungkung","Kabupaten"
"51.06","Bangli","Kabupaten"
"51.07","Karangasem","Kabupaten"
"51.08","Buleleng","Kabupaten"
"51.71","Denpasar","Kota"
"52.01","Lombok Barat","Kabupaten"
"52.02","Lombok Tengah","Kabupaten"
"52.03","Lombok Timur","Kabupaten"
"52.04","Sumbawa","Kabupaten"
"52.05","Dompu","Kabupaten"
"52.06","Bima","Kabupaten"
"52.07","Sumbawa Barat","Kabupaten"
"52.08","Lombok Utara","Kabupaten"
"52.71","Mataram","Kota"
"52.72","Bima","Kota"
"53.01","Kupang","Kabupaten"
"53.02","Timor Tengah Selatan","Kabupaten"
"53.03","Timor Tengah Utara","Kabupaten"
"53.04","Belu","Kabupaten"
"53.05","Alor","Kabupaten"
"53.06","Flores Timur","Kabupaten"
"53.07","Sikka","Kabupaten"
"53.08","Ende","Kabupaten"
"53.09","Ngada","Kabupaten"
"53.10","Manggarai","Kabupaten"
"53.11","Sumba Timur","Kabupaten"
"53.12","Sumba Barat","Kabupaten"
"53.13","Lembata","Kabupaten"
"53.14","Rote Ndao","Kabupaten"
"53.15","Manggarai Barat","Kabupaten"
"53.16","Nagekeo","Kabupaten"
"53.17","Sumba Tengah","Kabupaten"
"53.18","Sumba Barat Daya","Kabupaten"
"53.19","Manggarai Timur","Kabupaten"
"53.20","Sabu Raijua","Kabupaten"
"53.21","Malaka","Kabupaten"
"53.71","Kupang","Kota"
"61.01","Sambas","Kabupaten"
"61.02","Mempawah","Kabupaten"
"61.03","Sanggau","Kabupaten"
"61.04","Ketapang","Kabupaten"
"61.05","Sintang","Kabupaten"
"61.06","Kapuas Hulu","Kabupaten"
"61.07","Bengkayang","Kabupaten"
"61.08","Landak","Kabupaten"
"61.09","Sekadau","Kabupaten"
"61.10","Melawi","Kabupaten"
"61.11","Kayong Utara","Kabupaten"
"61.12","Kubu Raya","Kabupaten"
"61.71","Pontianak","Kota"
"61.72","Singkawang","Kota"
"62.01","Kotawaringin Barat","Kabupaten"
"62.02","Kotawaringin Timur","Kabupaten"
"62.03","Kapuas","Kabupaten"
"62.04","Barito Selatan","Kabupaten"
"62.05","Barito Utara","Kabupaten"
"62.06","Katingan","Kabupaten"
"62.07","Seruyan","Kabupaten"
"62.08","Sukamara","Kabupaten"
"62.09","Lamandau","Kabupaten"
"62.10","Gunung Mas","Kabupaten"
"62.11","Pulang Pisau","Kabupaten"
"62.12","Murung Raya","Kabupaten"
"62.13","Barito Timur","Kabupaten"
"62.71","Palangka Raya","Kota"
"63.01","Tanah Laut","Kabupaten"
"63.02","Kotabaru","Kabupaten"
"63.03","Banjar","Kabupaten"
"63.04","Barito Kuala","Kabupaten"
"63.05","Tapin","Kabupaten"
"63.06","Hulu Sungai Selatan","Kabupaten"
"63.07","Hulu Sungai Tengah","Kabupaten"
"63.08","Hulu Sungai Utara","Kabupaten"
"63.09","Tabalong","Kabupaten"
"63.10","Tanah Bumbu","Kabupaten"
"63.11","Balangan","Kabupaten"
"63.71","Banjarmasin","Kota"
"63.72","Banjarbaru","Kota"
"64.01","Paser","Kabupaten"
"64.02","Kutai Kartanegara","Kabupaten"
"64.03","Berau","Kabupaten"
"64.07","Kutai Barat","Kabupaten"
"64.08","Kutai Timur","Kabupaten"
"64.09","Penajam Paser Utara","Kabupaten"
"64.11","Mahakam Ulu","Kabupaten"
"64.71","Balikpapan","Kota"
"64.72","Samarinda","Kota"
"64.74","Bontang","Kota"
"65.01","Bulungan","Kabupaten"
"65.02","Malinau","Kabupaten"
"65.03","Nunukan","Kabupaten"
"65.04","Tana Tidung","Kabupaten"
"65.71","Tarakan","Kota"
"71.01","Bolaang Mongondow","Kabupaten"
"71.02","Minahasa","Kabupaten"
"71.03","Kepulauan Sangihe","Kabupaten"
"71.04","Kepulauan Talaud","Kabupaten"
"71.05","Minahasa Selatan","Kabupaten"
"71.06","Minahasa Utara","Kabupaten"
"71.07","Minahasa Tenggara","Kabupaten"
"71.08","Bolaang Mongondow Utara","Kabupaten"
"71.09","Kepulauan Siau Tagulandang Biaro (Sitaro)","Kabupaten"
"71.10","Bolaang Mongondow Timur","Kabupaten"
"71.11","Bolaang Mongondow Selatan","Kabupaten"
"71.71","Manado","Kota"
"71.72","Bitung","Kota"
"71.73","Tomohon","Kota"
"71.74","Kotamobagu","Kota"
"72.01","Banggai","Kabupaten"
"72.02","Poso","Kabupaten"
"72.03","Donggala","Kabupaten"
"72.04","Toli-Toli","Kabupaten"
"72.05","Buol","Kabupaten"
"72.06","Morowali","Kabupaten"
"72.07","Banggai Kepulauan","Kabupaten"
"72.08","Parigi Moutong","Kabupaten"
"72.09","Tojo Una-Una","Kabupaten"
"72.10","Sigi","Kabupaten"
"72.11","Banggai Laut","Kabupaten"
"72.12","Morowali Utara","Kabupaten"
"72.71","Palu","Kota"
"73.01","Kepulauan Selayar","Kabupaten"
"73.02","Bulukumba","Kabupaten"
"73.03","Bantaeng","Kabupaten"
"73.04","Jeneponto","Kabupaten"
"73.05","Takalar","Kabupaten"
"73.06","Gowa","Kabupaten"
"73.07","Sinjai","Kabupaten"
"73.08","Bone","Kabupaten"
"73.09","Maros","Kabupaten"
"73.10","Pangkajene Kepulauan","Kabupaten"
"73.11","Barru","Kabupaten"
"73.12","Soppeng","Kabupaten"
"73.13","Wajo","Kabupaten"
"73.14","Sidenreng Rappang","Kabupaten"
"73.15","Pinrang","Kabupaten"
"73.16","Enrekang","Kabupaten"
"73.17","Luwu","Kabupaten"
"73.18","Tana Toraja","Kabupaten"
"73.22","Luwu Utara","Kabupaten"
"73.24","Luwu Timur","Kabupaten"
"73.26","Toraja Utara","Kabupaten"
"73.71","Makassar","Kota"
"73.72","Parepare","Kota"
"73.73","Palopo","Kota"
"74.01","Kolaka","Kabupaten"
"74.02","Konawe","Kabupaten"
"74.03","Muna","Kabupaten"
"74.04","Buton","Kabupaten"
"74.05","Konawe Selatan","Kabupaten"
"74.06","Bombana","Kabupaten"
"74.07","Wakatobi","Kabupaten"
"74.08","Kolaka Utara","Kabupaten"
"74.09","Konawe Utara","Kabupaten"
"74.10","Buton Utara","Kabupaten"
"74.11","Kolaka Timur","Kabupaten"
"74.12","Konawe Kepulauan","Kabupaten"
"74.13","Muna Barat","Kabupaten"
"74.14","Buton Tengah","Kabupaten"
"74.15","Buton Selatan","Kabupaten"
"74.71","Kendari","Kota"
"74.72","Bau-Bau","Kota"
"75.01","Gorontalo","Kabupaten"
"75.02","Boalemo","Kabupaten"
"75.03","Bone Bolango","Kabupaten"
"75.04","Pohuwato","Kabupaten"
"75.05","Gorontalo Utara","Kabupaten"
"75.71","Gorontalo","Kota"
"76.01","Mamuju Utara","Kabupaten"
"76.02","Mamuju","Kabupaten"
"76.03","Mamasa","Kabupaten"
"76.04","Polewali Mandar","Kabupaten"
"76.05","Majene","Kabupaten"
"76.06","Mamuju Tengah","Kabupaten"
"81.01","Maluku Tengah","Kabupaten"
"81.02","Maluku Tenggara","Kabupaten"
"81.03","Maluku Tenggara Barat","Kabupaten"
"81.04","Buru","Kabupaten"
"81.05","Seram Bagian Timur","Kabupaten"
"81.06","Seram Bagian Barat","Kabupaten"
"81.07","Kepulauan Aru","Kabupaten"
"81.08","Maluku Barat Daya","Kabupaten"
"81.09","Buru Selatan","Kabupaten"
"81.71","Ambon","Kota"
"81.72","Tual","Kota"
"82.01","Halmahera Barat","Kabupaten"
"82.02","Halmahera Tengah","Kabupaten"
"82.03","Halmahera Utara","Kabupaten"
"82.04","Halmahera Selatan","Kabupaten"
"82.05","Kepulauan Sula","Kabupaten"
"82.06","Halmahera Timur","Kabupaten"
"82.07","Pulau Morotai","Kabupaten"
"82.08","Pulau Taliabu","Kabupaten"
"82.71","Ternate","Kota"
"82.72","Tidore Kepulauan","Kota"
"91.01","Merauke","Kabupaten"
"91.02","Jayawijaya","Kabupaten"
"91.03","Jayapura","Kabupaten"
"91.04","Nabire","Kabupaten"
"91.05","Kepulauan Yapen","Kabupaten"
"91.06","Biak Numfor","Kabupaten"
"91.07","Puncak Jaya","Kabupaten"
"91.08","Paniai","Kabupaten"
"91.09","Mimika","Kabupaten"
"91.10","Sarmi","Kabupaten"
"91.11","Keerom","Kabupaten"
"91.12","Pegunungan Bintang","Kabupaten"
"91.13","Yahukimo","Kabupaten"
"91.14","Tolikara","Kabupaten"
"91.15","Waropen","Kabupaten"
"91.16","Boven Digoel","Kabupaten"
"91.17","Mappi","Kabupaten"
"91.18","Asmat","Kabupaten"
"91.19","Supiori","Kabupaten"
"91.20","Mamberamo Raya","Kabupaten"
"91.21","Mamberamo Tengah","Kabupaten"
"91.22","Yalimo","Kabupaten"
"91.23","Lanny Jaya","Kabupaten"
"91.24","Nduga","Kabupaten"
"91.25","Puncak","Kabupaten"
"91.26","Dogiyai","Kabupaten"
"91.27","Intan Jaya","Kabupaten"
"91.28","Deiyai","Kabupaten"
"91.71","Jayapura","Kota"
"92.01","Sorong","Kabupaten"
"92.02","Manokwari","Kabupaten"
"92.03","Fakfak","Kabupaten"
"92.04","Sorong Selatan","Kabupaten"
"92.05","Raja Ampat","Kabupaten"
"92.06","Teluk Bintuni","Kabupaten"
"92.07","Teluk Wondama","Kabupaten"
"92.08","Kaimana","Kabupaten"
"92.09","Tambrauw","Kabupaten"
"92.10","Maybrat","Kabupaten"
"92.11","Manokwari Selatan","Kabupaten"
"92.12","Pegunungan Arfak","Kabupaten"
"92.71","Sorong","Kota"
